t,survival_rate,expected_benefit,net_single_premium
0,0.997,0.0,37269.01156979932
1,0.994009,299.1,37455.35662764831
2,0.991026973,298.2027,37342.03791078655
3,0.988053892081,297.3080919,37229.05438684048
4,0.985089730404757,296.41616762430004,37116.40502641518
5,0.9821344612135428,295.5269191214271,37004.08880308483
6,0.9791880578299021,294.6403383640628,36892.10469338322
7,0.9762504936564125,293.7564173489707,36780.45167679425
8,0.9733217421754432,292.87514809692374,36669.128735742495
9,0.9704017769489168,291.99652265263296,36558.1348555838
10,0.9674905716180701,291.12053308467506,36447.46902459582
11,0.9645880999032158,290.247171485421,36337.1302339687
12,0.9616943356035061,289.37642997096475,36227.1174777957
13,0.9588092525966956,288.5083006810518,36117.42975306385
14,0.9559328248389055,287.6427757790087,36008.066059644705
15,0.9530650263643888,286.7798474516717,35899.02540028502
16,0.9502058312852957,285.9195079093167,35790.30678059751
17,0.9473552137914398,285.0617493855887,35681.90920905163
18,0.9445131481500655,284.20656413743194,35573.831696964364
19,0.9416796087056153,283.35394444501964,35466.073258491066
20,0.9388545698794984,282.5038826116846,35358.632910616274
21,0.93603800616986,281.65637096384955,35251.5096731446
22,0.9332298921513504,280.811401850958,35144.70256869165
23,0.9304302024748964,279.96896764540514,35038.210622674895
24,0.9276389118674717,279.12906074246894,34932.03286330463
25,0.9248559951318693,278.2916735602415,34826.16832157497
26,0.9220814271464737,277.4567985395608,34720.6160312548
27,0.9193151828650342,276.6244281439421,34615.375028878814
28,0.9165572373164391,275.7945548595103,34510.444353738545
29,0.9138075656044898,274.9671711949318,34405.823047873426
30,0.9110661429076764,274.142269681347,34301.51015606188
31,0.9083329444789534,273.31984287230296,34197.50472581243
32,0.9056079456455165,272.499883343686,34093.80580735482
33,0.90289112180858,271.68238369365497,33990.412453631194
34,0.9001824484431542,270.867336542574,33887.323720287226
35,0.8974819010978248,270.05473453294627,33784.53866566338
36,0.8947894553945313,269.2445703293475,33682.05635078608
37,0.8921050870283477,268.4368366183594,33579.87583935901
38,0.8894287717672626,267.6315261085043,33477.99619775435
39,0.8867604854519608,266.82863153017877,33376.41649500407
40,0.884100203995605,266.02814563558826,33275.13580279126
41,0.8814479033836181,265.2300611986815,33174.153195441446
42,0.8788035596734672,264.43437101508545,33073.46774991398
43,0.8761671489944468,263.64106790204016,32973.07854579338
44,0.8735386475474635,262.8501446983341,32872.9846652808
